"","siteId","yr","richness_xbar","abund_xbar","density_xbar","labSplit","fieldSplit","area","mesh","siteLatitude","siteLongitude","COMID"
"1",339,2015,19,625,4091.58606242124,0.1825,1,0.837,NA,38.5484951,-112.4463378,3504479
"2",345,2015,36,668,1826.28927000375,0.437,1,0.837,NA,38.45825543,-112.2564158,3507913
"3",346,2015,30,618,4726.96065608378,0.1562,1,0.837,NA,38.46303082,-112.3195951,3506979
"4",355,2015,35,650,2760.69333326538,0.2813,1,0.837,NA,38.47191621,-112.4535755,3507043
"5",399,2004,41,587,2103.94265232975,1,1,0.279,250,38.335775,-112.229736,3507943
"6",400,2004,48,730,2616.48745519713,1,1,0.279,250,38.318558,-112.289669,3507399
"7",655,2004,28,519,1860.21505376344,1,1,0.279,500,39.101,-111.6472,5303227
"8",842,1997,35,3892,13949.8207885305,1,1,0.279,280,41.75,-111.5,666126
"9",843,2015,33,655,7050.59203444564,0.125,1,0.7432,NA,38.34377257,-112.4829697,1214879
"10",1187,2011,25,869,3114.69534050179,1,1,0.279,NA,40.94283944,-111.1948222,10092120
"11",1705,2016,49,840,4540.54054054054,0.25,1,0.74,NA,38.355363,-109.1201,18381749
"12",1708,2015,33,698,7513.45532831001,0.125,1,0.7432,NA,38.37987979,-112.4463852,1214799
"13",1885,2011,24,356,1275.98566308244,1,1,0.279,NA,40.95261146,-111.2557812,10093058
"14",2650,2004,35,664,15226.6686846589,0.1563,1,0.279,250,38.590046,-112.560321,1212949
"15",2652,2014,37,603,4345.94594594595,0.1875,1,0.74,NA,37.86057281,-112.491728,10817084
"16",2654,2015,39,708,1270.18299246502,0.75,1,0.7432,NA,38.38853382,-112.4322111,1214799
"17",2655,2015,14,190,256.756756756757,1,1,0.74,NA,39.08426608,-111.1394398,4876881
"18",2655,2017,14,439,593.243243243243,1,1,0.74,NA,39.08426608,-111.1394398,4876881
"19",2773,2020,36,1059,5724.32432432432,0.25,1,0.74,NA,41.46657944,-111.9429016,4609434
"20",2774,2020,33,659,7124.32432432432,0.125,1,0.74,NA,41.76570892,-111.3535309,4473427
"21",2775,2020,48,676,3654.05405405405,0.25,1,0.74,NA,40.8091507,-110.7977982,7888190
"22",2776,2009,21,743,3212.97297297297,0.3125,1,0.74,NA,41.5219444,-112.0419444,4605164
"23",2777,2009,15,362,1956.75675675676,0.25,1,0.74,NA,41.522222,-112.0436111,4605164
"24",2778,2008,15,455,614.864864864865,1,1,0.74,NA,41.58472222,-112.0891667,4604982
"25",2780,2008,22,748,1010.81081081081,1,1,0.74,NA,41.79361111,-112.0933333,4604192
"26",2781,2008,33,619,955.984555984556,0.875,1,0.74,NA,41.81194444,-112.0577778,4604120
"27",2782,2007,21.5,603,1448.64864864865,0.5625,1,0.74,500,41.62377778,-112.1672778,4604870
"28",2782,2012,19,877,9481.08108108108,0.125,1,0.74,NA,41.62377778,-112.1672778,4604870
"29",2783,2009,29,998,1348.64864864865,1,1,0.74,NA,41.6972222,-112.160483,4605750
"30",2784,2009,32.5,814.5,4402.7027027027,0.25,1,0.74,NA,41.71186111,-112.1601944,4605750
"31",2786,2008,24,708,7654.05405405405,0.125,1,0.74,NA,41.83888889,-111.9711111,4563426
"32",2787,2002,23,654,5769.34782551163,0.4063,1,0.279,30,41.92,-112.0369,946010085
"33",2788,2008,26,758,5463.06306306306,0.1875,1,0.74,NA,41.91994444,-112.037,946010085
"34",2789,1999,33,512,9102.22222222222,0.1875,1,0.3,300,41.7978,-111.9294,4564542
"35",2789,2003,3,97,323.333333333333,1,1,0.3,300,41.7978,-111.9294,4564542
"36",2789,2004,9,189,630,1,1,0.3,300,41.7978,-111.9294,4564542
"37",2789,2005,7,285,950,1,1,0.3,300,41.7978,-111.9294,4564542
"38",2790,2004,32,719,19173.3333333333,0.125,1,0.3,300,41.881318,-111.725776,4564446
"39",2791,2002,26,508,4855.43608124253,0.375,1,0.279,500,41.9781,-111.8285,4563112
"40",2791,2004,21.5,656,12109.9163679809,0.25,1,0.279,300,41.9781,-111.8285,4563112
"41",2793,2002,30,774,22193.5483870968,0.125,1,0.279,30,41.94375,-111.837222,4563184
